label,auc_roc,avg_precision,positive_count,note
Atelectasis,0.7556245843844918,0.2873983541995652,1212,
Cardiomegaly,0.8684471149507942,0.24861393686145702,318,
Effusion,0.8477740541152516,0.44269366952415024,1316,
Infiltration,0.6873329431284216,0.33926638794905883,2243,
Mass,0.7662663287190485,0.22340190589969375,529,
Nodule,0.7088365848635616,0.1811286533834201,694,
Pneumonia,0.6257390225452204,0.027358765334622337,153,
Pneumothorax,0.8230034988447718,0.24529112052614616,533,
Consolidation,0.7293477832229756,0.11730255435470327,499,
Edema,0.8359645853378319,0.11918119315478949,233,
Emphysema,0.8891157814897053,0.3092388511922918,297,
Fibrosis,0.7531807052319203,0.07166530009175638,198,
Pleural_Thickening,0.7351379733934751,0.09914939300654238,318,
Hernia,0.841445884819792,0.3994539662784857,13,
